kategori,urun_adi,marka_yayinevi,liste_fiyat_tl,indirimli_fiyat_tl,indirim_orani_%,url
Öne Çıkan Kitaplar,Bi Sor Seni Neden Seçtim,Nemesis Kitap Yayınevi,257.04,192.78,25.0,https://www.idefix.com/bi-sor-seni-neden-sectim-p-325057#sortId=325057
Öne Çıkan Kitaplar,Bir Terapistin Arka Bahçesi,Pinhan Yayıncılık,280.1,271.7,3.0,https://www.idefix.com/bir-terapistin-arka-bahcesi-p-325607#sortId=325607
Öne Çıkan Kitaplar,Harry Potter Film Dehlizi 1 - Orman Göl ve Gök Yaratıkları,Mabbels X Teras,48.9,46.45,5.0,https://www.idefix.com/harry-potter-film-dehlizi-1-orman-gol-ve-gok-yaratiklari-p-326729#sortId=326729
Öne Çıkan Kitaplar,Enkaz Altındakiler,İndigo Kitap Yayınevi,285.68,277.11,3.0,https://www.idefix.com/enkaz-altindakiler-p-328077#sortId=328077
Öne Çıkan Kitaplar,40 Günde Yeni Sen,Doğan Kitap,282.24,211.68,25.0,https://www.idefix.com/40-gunde-yeni-sen-p-332526#sortId=332526
Öne Çıkan Kitaplar,Hayykitap Çeyiz,Hayykitap,230.0,218.5,5.0,https://www.idefix.com/hayykitap-ceyiz-p-338724#sortId=338724
Öne Çıkan Kitaplar,Ölüm ve Ölme Üzerine - 50.Yıl Edisyonu,Profil Kitap Yayınevi,534.24,400.68,25.0,https://www.idefix.com/olum-ve-olme-uzerine-50yil-edisyonu-p-374823#sortId=374823
Öne Çıkan Kitaplar,Şafakparesi - Fırtınaışığı Arşivi'nden,Akılçelen Kitaplar,260.5,252.68,3.0,https://www.idefix.com/safakparesi-firtinaisigi-arsivinden-p-332949#sortId=332949
Öne Çıkan Kitaplar,Tüm Soruların Anası,Siren Yayınları,181.44,136.08,25.0,https://www.idefix.com/tum-sorularin-anasi-p-328157#sortId=328157
Öne Çıkan Kitaplar,Her Şeyin Teorisi Yoktur,Alfa Yayıncılık,236.88,177.66,25.0,https://www.idefix.com/her-seyin-teorisi-yoktur-p-338708#sortId=338708
Öne Çıkan Kitaplar,Melankolinin Anatomisi - 3. Cilt,Zeplin Kitap,230.5,223.58,3.0,https://www.idefix.com/melankolinin-anatomisi-3-cilt-p-329427#sortId=329427
Öne Çıkan Kitaplar,İthaki Yayınları Mümkünatı Yok,İthaki Yayınları,428.4,321.3,25.0,https://www.idefix.com/ithaki-yayinlari-mumkunati-yok-p-411440#sortId=411440
Öne Çıkan Kitaplar,Hikayeci,Domingo Yayınevi,352.8,264.6,25.0,https://www.idefix.com/hikayeci-p-338127#sortId=338127
Öne Çıkan Kitaplar,Anime Boyama Cilt 2 - Kawaii,Teras Kitap,130.03,97.52,25.0,https://www.idefix.com/anime-boyama-cilt-2-kawaii-p-369851#sortId=369851
Öne Çıkan Kitaplar,Atatürk - Cumhuriyet ve Özgürlük,Kopernik Kitap,376.35,365.06,3.0,https://www.idefix.com/ataturk-cumhuriyet-ve-ozgurluk-p-420440#sortId=420440
Öne Çıkan Kitaplar,Your Lie in April - Nisan Yalanı 1,Akılçelen Kitaplar,210.1,203.8,3.0,https://www.idefix.com/your-lie-in-april-nisan-yalani-1-p-364606#sortId=364606
Öne Çıkan Kitaplar,Doğan Kitap Kırmızı Pelerin,Doğan Kitap,524.16,393.12,25.0,https://www.idefix.com/dogan-kitap-kirmizi-pelerin-p-342435#sortId=342435
Öne Çıkan Kitaplar,Evliya Çelebi Seyahatnamesi Seti - 2 Kitap Takım Kutulu,Yeditepe Yayınevi,1076.89,1023.05,5.0,https://www.idefix.com/evliya-celebi-seyahatnamesi-seti-2-kitap-takim-kutulu-p-329025#sortId=329025
Pulitzer Ödüllü Kitaplar,Angela'nın Külleri - Hatıralar,Epsilon Yayınevi,514.0,488.3,5.0,https://www.idefix.com/angelanin-kulleri-hatiralar-p-195880#sortId=195880
Pulitzer Ödüllü Kitaplar,Bülbülü Öldürmek,Epsilon Yayınevi,362.75,351.87,3.0,https://www.idefix.com/bulbulu-oldurmek-p-275534#sortId=275534
