kategori,urun_adi,marka_yayinevi,liste_fiyat_tl,indirimli_fiyat_tl,url
Öne Çıkan Kitaplar,Siren YayınlarıTüm Soruların Anası - Siren Yayınları,Siren Yayınları,181.44,136.08,https://www.idefix.com/tum-sorularin-anasi-p-328157#sortId=328157
Öne Çıkan Kitaplar,Alfa YayıncılıkHer Şeyin Teorisi Yoktur - Alfa Yayıncılık,Alfa Yayıncılık,236.88,177.66,https://www.idefix.com/her-seyin-teorisi-yoktur-p-338708#sortId=338708
Öne Çıkan Kitaplar,Zeplin KitapMelankolinin Anatomisi - 3. Cilt - Zeplin Kitap,Zeplin Kitap,230.5,223.58,https://www.idefix.com/melankolinin-anatomisi-3-cilt-p-329427#sortId=329427
Öne Çıkan Kitaplar,İthaki Yayınlarıİthaki Yayınları Mümkünatı Yok - İthaki Yayınları,İthaki Yayınları,428.4,321.3,https://www.idefix.com/ithaki-yayinlari-mumkunati-yok-p-411440#sortId=411440
Öne Çıkan Kitaplar,Domingo YayıneviHikayeci - Domingo Yayınevi,Domingo Yayınevi,352.8,264.6,https://www.idefix.com/hikayeci-p-338127#sortId=338127
Öne Çıkan Kitaplar,Teras KitapAnime Boyama Cilt 2 - Kawaii - Teras Kitap,Teras Kitap,130.03,97.52,https://www.idefix.com/anime-boyama-cilt-2-kawaii-p-369851#sortId=369851
Öne Çıkan Kitaplar,Kopernik KitapAtatürk - Cumhuriyet ve Özgürlük - Kopernik Kitap,Kopernik Kitap,376.35,365.06,https://www.idefix.com/ataturk-cumhuriyet-ve-ozgurluk-p-420440#sortId=420440
Öne Çıkan Kitaplar,Akılçelen KitaplarYour Lie in April - Nisan Yalanı 1 - Akılçelen Kitaplar,Akılçelen Kitaplar,210.1,203.8,https://www.idefix.com/your-lie-in-april-nisan-yalani-1-p-364606#sortId=364606
Öne Çıkan Kitaplar,Doğan KitapDoğan Kitap Kırmızı Pelerin - Doğan Kitap,Doğan Kitap,524.16,393.12,https://www.idefix.com/dogan-kitap-kirmizi-pelerin-p-342435#sortId=342435
Öne Çıkan Kitaplar,Yeditepe YayıneviEvliya Çelebi Seyahatnamesi Seti - 2 Kitap Takım Kutulu - Yeditepe Yayınevi,Yeditepe Yayınevi,1076.89,1023.05,https://www.idefix.com/evliya-celebi-seyahatnamesi-seti-2-kitap-takim-kutulu-p-329025#sortId=329025
Pulitzer Ödüllü Kitaplar,Epsilon YayıneviAngela'nın Külleri - Hatıralar - Epsilon Yayınevi,Epsilon Yayınevi,514.0,488.3,https://www.idefix.com/angelanin-kulleri-hatiralar-p-195880#sortId=195880
Pulitzer Ödüllü Kitaplar,Epsilon YayıneviBülbülü Öldürmek - Epsilon Yayınevi,Epsilon Yayınevi,362.75,351.87,https://www.idefix.com/bulbulu-oldurmek-p-275534#sortId=275534
Pulitzer Ödüllü Kitaplar,İş Bankası Kültür YayınlarıPetrol - Para ve Güç Çatışmasının Epik Öyküsü - İş Bankası Kültür Yayınları,İş Bankası Kültür Yayınları,2990.0,2840.5,https://www.idefix.com/petrol-para-ve-guc-catismasinin-epik-oykusu-p-1131024#sortId=1131024
Pulitzer Ödüllü Kitaplar,Pegasus YayıneviPegasus Yayınevi Kül Mevsimi - Pegasus Yayınevi,Pegasus Yayınevi,890.0,845.5,https://www.idefix.com/pegasus-yayinevi-kul-mevsimi-p-1514075#sortId=1514075
Pulitzer Ödüllü Kitaplar,Pegasus Yayıneviİt Kopuk Takımı - Pegasus Yayınevi,Pegasus Yayınevi,301.39,226.04,https://www.idefix.com/it-kopuk-takimi-p-1514953#sortId=1514953
Pulitzer Ödüllü Kitaplar,Kafka KitapTamirci - Kafka Kitap,Kafka Kitap,409.65,397.36,https://www.idefix.com/tamirci-p-373393#sortId=373393
Pulitzer Ödüllü Kitaplar,Pegasus YayıneviYetimlerin Efendisi'nin Oğlu - Pegasus Yayınevi,Pegasus Yayınevi,244.83,237.49,https://www.idefix.com/yetimlerin-efendisinin-oglu-p-1515249#sortId=1515249
Pulitzer Ödüllü Kitaplar,Siren YayınlarıYeraltı Demiryolu - Siren Yayınları,Siren Yayınları,443.52,332.64,https://www.idefix.com/yeralti-demiryolu-p-238127#sortId=238127
Pulitzer Ödüllü Kitaplar,Epsilon YayıneviAngela'nın Külleri 2 - Umuda Doğru - Epsilon Yayınevi,Epsilon Yayınevi,730.0,693.5,https://www.idefix.com/angelanin-kulleri-2-umuda-dogru-p-195899#sortId=195899
Pulitzer Ödüllü Kitaplar,Sel YayıncılıkBülbülü Öldürmek - Sel Yayıncılık,Sel Yayıncılık,1000.0,950.0,https://www.idefix.com/bulbulu-oldurmek-p-1175532#sortId=1175532
Pulitzer Ödüllü Kitaplar,AlefTavşan Dibe Vurdu - Alef,Alef,555.28,527.52,https://www.idefix.com/tavsan-dibe-vurdu-p-202525#sortId=202525
Pulitzer Ödüllü Kitaplar,İmge Kitabeviİmge Kitabevi Masumiyet Çağı - İmge Kitabevi,İmge Kitabevi,548.35,411.26,https://www.idefix.com/imge-kitabevi-masumiyet-cagi-p-182993#sortId=182993
Pulitzer Ödüllü Kitaplar,Everest YayınlarıEy Yıkılmış Hayaller Şehiri Toplu Öyküler 2 - Everest Yayınları,Everest Yayınları,236.88,177.66,https://www.idefix.com/ey-yikilmis-hayaller-sehiri-toplu-oykuler-2-p-206896#sortId=206896
Pulitzer Ödüllü Kitaplar,Sel YayıncılıkSevilen - Sel Yayıncılık,Sel Yayıncılık,478.8,359.1,https://www.idefix.com/sevilen-p-344338#sortId=344338
Pulitzer Ödüllü Kitaplar,Siren YayınlarıNickel Çocukları - Siren Yayınları,Siren Yayınları,282.24,211.68,https://www.idefix.com/nickel-cocuklari-p-268904#sortId=268904
Pulitzer Ödüllü Kitaplar,Pegasus YayıneviPegasus Yayınevi Saka Kuşu - Pegasus Yayınevi,Pegasus Yayınevi,681.0,660.57,https://www.idefix.com/pegasus-yayinevi-saka-kusu-p-1516224#sortId=1516224
Pulitzer Ödüllü Kitaplar,Ayrıntı YayınlarıAyrıntı Yayınları Pastoral Amerika - Ayrıntı Yayınları,Ayrıntı Yayınları,483.84,362.88,https://www.idefix.com/ayrinti-yayinlari-pastoral-amerika-p-203553#sortId=203553
Pulitzer Ödüllü Kitaplar,Domingo YayıneviMiddlesex - Domingo Yayınevi,Domingo Yayınevi,379.5,368.11,https://www.idefix.com/middlesex-p-188373#sortId=188373
Pulitzer Ödüllü Kitaplar,Bilgi YayıneviYaşlı Adam ve Deniz - Bilgi Yayınevi,Bilgi Yayınevi,277.2,207.9,https://www.idefix.com/yasli-adam-ve-deniz-p-207795#sortId=207795
